               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.033174,             0.13399,                   0,              0.8309,             0.74727,             0.76786,             0.38935,            0.036576,              0.2142,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,             0.03254,             0.10266,                   0,             0.84553,             0.71288,              0.7718,              0.3997,            0.038096,             0.22535,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.033168,             0.12287,                   0,             0.82411,             0.74169,             0.77559,             0.38415,            0.038212,             0.21728,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.034784,             0.12948,                   0,             0.83018,             0.72184,             0.76278,             0.38419,            0.037248,             0.21837,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.032073,             0.12442,                   0,             0.82059,             0.72571,             0.75626,             0.37374,            0.036831,              0.2147,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.033603,             0.11637,                   0,             0.81468,             0.71627,             0.75999,             0.37773,            0.038618,             0.22199,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,            0.034548,             0.11659,                   0,             0.83063,             0.72926,              0.7681,             0.38075,            0.037911,             0.22765,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.033952,             0.12282,                   0,             0.82267,             0.74452,             0.77578,             0.39481,            0.036764,             0.22066,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.032872,             0.10658,                   0,             0.84465,             0.73881,             0.78109,             0.40526,            0.035941,             0.21605,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.034084,             0.13372,                   0,             0.82296,             0.74072,             0.77824,             0.39533,            0.038992,             0.21372,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.033267,             0.11097,                   0,             0.84497,             0.72148,             0.75472,             0.36953,            0.038244,             0.22318,                   0,           0.0070547,           0.0070547,           0.0070547
